symbol,timeframe,time,open,high,low,close
XAUUSD,H1,2026.09.16 06:00:00,4321.59,4341.03,4321.45,4327.06
XAUUSD,H1,2026.09.16 07:00:00,4327.06,4328.45,4320.59,4321.87
XAUUSD,H1,2026.09.16 08:00:00,4321.90,4333.69,4320.75,4326.48
XAUUSD,H1,2026.09.16 09:00:00,4326.51,4333.07,4321.50,4332.90
XAUUSD,H1,2026.09.16 10:00:00,4332.83,4339.07,4328.47,4329.29
XAUUSD,H1,2026.09.16 11:00:00,4329.28,4337.67,4323.05,4330.27
XAUUSD,H1,2026.09.16 12:00:00,4330.28,4339.25,4327.50,4338.15
XAUUSD,H1,2026.09.16 13:00:00,4338.16,4350.76,4337.59,4350.76
XAUUSD,H1,2026.09.16 14:00:00,4350.84,4353.60,4341.65,4341.72
XAUUSD,H1,2026.09.16 15:00:00,4341.67,4348.92,4335.46,4347.62
XAUUSD,H1,2026.09.16 16:00:00,4347.58,4360.39,4335.07,4338.63
XAUUSD,H1,2026.09.16 17:00:00,4338.59,4356.00,4324.17,4355.06
XAUUSD,H1,2026.09.16 18:00:00,4355.06,4360.87,4342.86,4352.74
XAUUSD,H1,2026.09.16 19:00:00,4352.74,4352.90,4343.76,4346.58
XAUUSD,H1,2026.09.16 20:00:00,4346.57,4364.52,4341.74,4361.63
XAUUSD,H1,2026.09.16 21:00:00,4361.62,4367.47,4257.34,4261.01
XAUUSD,H1,2026.09.16 22:00:00,4261.20,4287.37,4235.17,4272.13
XAUUSD,H1,2026.09.16 23:00:00,4272.24,4273.80,4257.20,4264.08
XAUUSD,H1,2026.09.17 01:00:00,4263.57,4276.22,4257.44,4266.53
XAUUSD,H1,2026.09.17 02:00:00,4266.53,4275.54,4258.82,4271.62
XAUUSD,H1,2026.09.17 03:00:00,4271.61,4292.30,4266.34,4280.14
XAUUSD,H1,2026.09.17 04:00:00,4280.13,4318.10,4280.13,4300.21
XAUUSD,H1,2026.09.17 05:00:00,4300.20,4300.93,4273.98,4277.20
XAUUSD,H1,2026.09.17 06:00:00,4277.19,4297.41,4277.09,4296.02
XAUUSD,H1,2026.09.17 07:00:00,4296.02,4298.87,4290.34,4297.42
XAUUSD,H1,2026.09.17 08:00:00,4297.42,4305.33,4285.47,4304.51
XAUUSD,H1,2026.09.17 09:00:00,4304.49,4315.19,4304.26,4310.85
XAUUSD,H1,2026.09.17 10:00:00,4310.75,4335.34,4309.32,4327.16
XAUUSD,H1,2026.09.17 11:00:00,4327.16,4328.18,4310.19,4311.61
XAUUSD,H1,2026.09.17 12:00:00,4311.61,4319.20,4305.08,4306.17
XAUUSD,H1,2026.09.17 13:00:00,4306.18,4325.03,4305.13,4324.16
XAUUSD,H1,2026.09.17 14:00:00,4324.17,4353.17,4323.36,4349.90
XAUUSD,H1,2026.09.17 15:00:00,4349.84,4381.19,4343.66,4373.29
XAUUSD,H1,2026.09.17 16:00:00,4373.26,4375.09,4355.42,4366.78
XAUUSD,H1,2026.09.17 17:00:00,4366.81,4379.93,4352.21,4354.03
XAUUSD,H1,2026.09.17 18:00:00,4354.00,4370.05,4351.38,4369.91
XAUUSD,H1,2026.09.17 19:00:00,4369.90,4372.49,4356.06,4362.37
XAUUSD,H1,2026.09.17 20:00:00,4362.35,4365.84,4357.87,4361.28
XAUUSD,H1,2026.09.17 21:00:00,4361.28,4365.57,4348.44,4351.51
XAUUSD,H1,2026.09.17 22:00:00,4351.59,4355.96,4342.77,4346.03
XAUUSD,H1,2026.09.17 23:00:00,4346.01,4346.90,4340.52,4341.69
XAUUSD,H1,2026.09.18 01:00:00,4342.31,4349.50,4341.53,4344.39
XAUUSD,H1,2026.09.18 02:00:00,4344.42,4348.13,4339.89,4346.27
XAUUSD,H1,2026.09.18 03:00:00,4346.27,4360.07,4342.13,4356.38
XAUUSD,H1,2026.09.18 04:00:00,4356.41,4365.58,4343.96,4348.36
XAUUSD,H1,2026.09.18 05:00:00,4348.36,4356.52,4343.31,4346.80
XAUUSD,H1,2026.09.18 06:00:00,4346.80,4360.85,4334.34,4359.27
XAUUSD,H1,2026.09.18 07:00:00,4359.25,4366.99,4352.81,4366.87
XAUUSD,H1,2026.09.18 08:00:00,4366.88,4378.22,4360.24,4377.27
XAUUSD,H1,2026.09.18 09:00:00,4377.26,4397.21,4377.23,4393.44
XAUUSD,H1,2026.09.18 10:00:00,4393.47,4399.53,4388.91,4393.34
XAUUSD,H1,2026.09.18 11:00:00,4393.33,4398.42,4385.12,4392.27
XAUUSD,H1,2026.09.18 12:00:00,4392.27,4398.10,4373.36,4376.51
XAUUSD,H1,2026.09.18 13:00:00,4376.52,4381.97,4375.72,4381.76
XAUUSD,H1,2026.09.18 14:00:00,4381.75,4388.46,4372.63,4381.45
XAUUSD,H1,2026.09.18 15:00:00,4381.52,4382.82,4353.75,4368.89
XAUUSD,H1,2026.09.18 16:00:00,4368.89,4375.56,4347.37,4349.33
XAUUSD,H1,2026.09.18 17:00:00,4349.29,4361.73,4342.73,4352.98
XAUUSD,H1,2026.09.18 18:00:00,4352.99,4358.07,4348.04,4356.68
XAUUSD,H1,2026.09.18 19:00:00,4356.68,4383.63,4354.84,4382.73
XAUUSD,H1,2026.09.18 20:00:00,4382.73,4396.84,4381.65,4393.12
XAUUSD,H1,2026.09.18 21:00:00,4393.04,4394.27,4379.66,4382.20
XAUUSD,H1,2026.09.18 22:00:00,4382.19,4386.05,4374.87,4376.44
XAUUSD,H1,2026.09.18 23:00:00,4376.42,4383.33,4375.54,4378.31
XAUUSD,H1,2026.09.21 01:00:00,4374.78,4382.23,4373.39,4373.83
XAUUSD,H1,2026.09.21 02:00:00,4373.83,4376.22,4368.99,4372.73
XAUUSD,H1,2026.09.21 03:00:00,4372.71,4376.12,4358.74,4366.62
XAUUSD,H1,2026.09.21 04:00:00,4366.61,4383.34,4366.54,4377.42
XAUUSD,H1,2026.09.21 05:00:00,4377.39,4377.72,4361.20,4363.87
XAUUSD,H1,2026.09.21 06:00:00,4363.84,4368.16,4357.77,4358.93
XAUUSD,H1,2026.09.21 07:00:00,4358.92,4365.36,4355.14,4355.87
XAUUSD,H1,2026.09.21 08:00:00,4355.89,4361.98,4349.21,4350.85
XAUUSD,H1,2026.09.21 09:00:00,4350.85,4355.77,4346.30,4353.27
XAUUSD,H1,2026.09.21 10:00:00,4353.26,4356.11,4341.94,4344.27
XAUUSD,H1,2026.09.21 11:00:00,4344.26,4357.68,4343.46,4353.16
XAUUSD,H1,2026.09.21 12:00:00,4353.08,4354.84,4340.02,4345.56
XAUUSD,H1,2026.09.21 13:00:00,4345.57,4356.74,4342.58,4342.66
XAUUSD,H1,2026.09.21 14:00:00,4342.66,4370.99,4341.91,4369.16
XAUUSD,H1,2026.09.21 15:00:00,4369.16,4374.74,4351.31,4359.67
XAUUSD,H1,2026.09.21 16:00:00,4359.62,4369.22,4345.95,4346.04
XAUUSD,H1,2026.09.21 17:00:00,4346.05,4347.16,4322.70,4338.78
XAUUSD,H1,2026.09.21 18:00:00,4338.79,4355.89,4338.79,4348.04
XAUUSD,H1,2026.09.21 19:00:00,4348.14,4356.88,4342.96,4343.29
XAUUSD,H1,2026.09.21 20:00:00,4343.29,4346.83,4337.45,4344.47
XAUUSD,H1,2026.09.21 21:00:00,4344.51,4352.40,4344.01,4346.06
XAUUSD,H1,2026.09.21 22:00:00,4346.05,4353.80,4342.19,4345.04
XAUUSD,H1,2026.09.21 23:00:00,4345.07,4345.23,4339.21,4343.47
XAUUSD,H1,2026.09.22 01:00:00,4344.64,4365.12,4344.38,4360.96
XAUUSD,H1,2026.09.22 02:00:00,4360.99,4370.60,4358.16,4368.61
XAUUSD,H1,2026.09.22 03:00:00,4368.62,4375.97,4348.40,4360.16
XAUUSD,H1,2026.09.22 04:00:00,4360.17,4365.11,4343.49,4348.42
XAUUSD,H1,2026.09.22 05:00:00,4348.41,4355.75,4339.72,4344.62
XAUUSD,H1,2026.09.22 06:00:00,4344.62,4349.28,4339.47,4341.67
XAUUSD,H1,2026.09.22 07:00:00,4341.66,4343.03,4334.96,4342.82
XAUUSD,H1,2026.09.22 08:00:00,4342.82,4347.32,4316.26,4323.63
XAUUSD,H1,2026.09.22 09:00:00,4323.62,4324.31,4315.11,4318.54
XAUUSD,H1,2026.09.22 10:00:00,4318.42,4324.22,4299.62,4301.13
XAUUSD,H1,2026.09.22 11:00:00,4301.13,4335.43,4291.52,4330.15
XAUUSD,H1,2026.09.22 12:00:00,4330.10,4337.80,4312.01,4336.62
XAUUSD,H1,2026.09.22 13:00:00,4336.61,4338.04,4321.72,4321.76
