symbol,timeframe,time,open,high,low,close
XAUUSD,M15,2026.09.21 12:00:00,4353.08,4353.88,4349.42,4353.85
XAUUSD,M15,2026.09.21 12:15:00,4353.87,4354.84,4346.55,4346.57
XAUUSD,M15,2026.09.21 12:30:00,4346.56,4347.74,4340.02,4347.54
XAUUSD,M15,2026.09.21 12:45:00,4347.55,4348.39,4343.36,4345.56
XAUUSD,M15,2026.09.21 13:00:00,4345.57,4353.40,4345.08,4353.39
XAUUSD,M15,2026.09.21 13:15:00,4353.38,4356.74,4350.06,4350.86
XAUUSD,M15,2026.09.21 13:30:00,4350.87,4351.99,4347.80,4348.36
XAUUSD,M15,2026.09.21 13:45:00,4348.36,4350.74,4342.58,4342.66
XAUUSD,M15,2026.09.21 14:00:00,4342.66,4348.43,4341.91,4348.29
XAUUSD,M15,2026.09.21 14:15:00,4348.29,4355.26,4348.29,4353.73
XAUUSD,M15,2026.09.21 14:30:00,4353.73,4367.24,4352.22,4366.50
XAUUSD,M15,2026.09.21 14:45:00,4366.50,4370.99,4364.80,4369.16
XAUUSD,M15,2026.09.21 15:00:00,4369.16,4374.74,4363.21,4369.23
XAUUSD,M15,2026.09.21 15:15:00,4369.23,4370.90,4351.51,4355.40
XAUUSD,M15,2026.09.21 15:30:00,4355.41,4363.17,4351.31,4363.11
XAUUSD,M15,2026.09.21 15:45:00,4363.14,4363.71,4353.76,4359.67
XAUUSD,M15,2026.09.21 16:00:00,4359.62,4364.24,4355.88,4363.08
XAUUSD,M15,2026.09.21 16:15:00,4363.07,4369.22,4360.72,4364.16
XAUUSD,M15,2026.09.21 16:30:00,4364.16,4364.46,4349.18,4353.00
XAUUSD,M15,2026.09.21 16:45:00,4353.03,4356.17,4345.95,4346.04
XAUUSD,M15,2026.09.21 17:00:00,4346.05,4347.16,4322.70,4340.16
XAUUSD,M15,2026.09.21 17:15:00,4340.15,4342.81,4334.12,4341.40
XAUUSD,M15,2026.09.21 17:30:00,4341.41,4343.56,4332.02,4332.15
XAUUSD,M15,2026.09.21 17:45:00,4332.15,4342.63,4332.11,4338.78
XAUUSD,M15,2026.09.21 18:00:00,4338.79,4350.36,4338.79,4349.33
XAUUSD,M15,2026.09.21 18:15:00,4349.28,4353.73,4348.37,4350.76
XAUUSD,M15,2026.09.21 18:30:00,4350.83,4355.89,4348.10,4349.86
XAUUSD,M15,2026.09.21 18:45:00,4349.88,4354.10,4346.43,4348.04
XAUUSD,M15,2026.09.21 19:00:00,4348.14,4355.73,4344.81,4351.57
XAUUSD,M15,2026.09.21 19:15:00,4351.61,4356.88,4348.93,4350.71
XAUUSD,M15,2026.09.21 19:30:00,4350.70,4352.62,4343.61,4343.89
XAUUSD,M15,2026.09.21 19:45:00,4343.88,4346.81,4342.96,4343.29
XAUUSD,M15,2026.09.21 20:00:00,4343.29,4346.83,4341.82,4345.99
XAUUSD,M15,2026.09.21 20:15:00,4345.99,4346.40,4341.44,4345.73
XAUUSD,M15,2026.09.21 20:30:00,4345.73,4346.48,4337.45,4340.60
XAUUSD,M15,2026.09.21 20:45:00,4340.60,4346.12,4339.31,4344.47
XAUUSD,M15,2026.09.21 21:00:00,4344.51,4350.87,4344.01,4349.91
XAUUSD,M15,2026.09.21 21:15:00,4349.92,4352.40,4348.64,4350.18
XAUUSD,M15,2026.09.21 21:30:00,4350.19,4351.49,4346.08,4346.95
XAUUSD,M15,2026.09.21 21:45:00,4346.97,4348.83,4345.94,4346.06
XAUUSD,M15,2026.09.21 22:00:00,4346.05,4346.61,4342.19,4345.55
XAUUSD,M15,2026.09.21 22:15:00,4345.52,4350.45,4344.83,4348.93
XAUUSD,M15,2026.09.21 22:30:00,4348.93,4353.80,4347.42,4347.96
XAUUSD,M15,2026.09.21 22:45:00,4347.96,4348.16,4344.58,4345.04
XAUUSD,M15,2026.09.21 23:00:00,4345.07,4345.23,4341.50,4341.54
XAUUSD,M15,2026.09.21 23:15:00,4341.54,4341.73,4339.87,4340.58
XAUUSD,M15,2026.09.21 23:30:00,4340.59,4342.75,4339.21,4341.95
XAUUSD,M15,2026.09.21 23:45:00,4341.99,4344.12,4340.63,4343.47
XAUUSD,M15,2026.09.22 01:00:00,4344.64,4350.61,4344.38,4349.54
XAUUSD,M15,2026.09.22 01:15:00,4349.55,4352.75,4349.20,4352.63
XAUUSD,M15,2026.09.22 01:30:00,4352.66,4353.09,4351.42,4352.89
XAUUSD,M15,2026.09.22 01:45:00,4352.88,4365.12,4352.68,4360.96
XAUUSD,M15,2026.09.22 02:00:00,4360.99,4366.13,4359.73,4359.83
XAUUSD,M15,2026.09.22 02:15:00,4359.83,4364.65,4358.24,4360.04
XAUUSD,M15,2026.09.22 02:30:00,4360.04,4370.58,4358.16,4368.44
XAUUSD,M15,2026.09.22 02:45:00,4368.53,4370.60,4363.87,4368.61
XAUUSD,M15,2026.09.22 03:00:00,4368.62,4375.97,4367.09,4370.09
XAUUSD,M15,2026.09.22 03:15:00,4370.08,4370.09,4357.85,4358.29
XAUUSD,M15,2026.09.22 03:30:00,4358.29,4359.19,4348.40,4355.36
XAUUSD,M15,2026.09.22 03:45:00,4355.38,4360.37,4353.34,4360.16
XAUUSD,M15,2026.09.22 04:00:00,4360.17,4365.11,4353.26,4353.62
XAUUSD,M15,2026.09.22 04:15:00,4353.63,4358.85,4349.77,4355.86
XAUUSD,M15,2026.09.22 04:30:00,4355.85,4357.12,4349.22,4349.26
XAUUSD,M15,2026.09.22 04:45:00,4349.26,4351.12,4343.49,4348.42
XAUUSD,M15,2026.09.22 05:00:00,4348.41,4352.98,4341.68,4342.34
XAUUSD,M15,2026.09.22 05:15:00,4342.35,4352.21,4339.72,4351.44
XAUUSD,M15,2026.09.22 05:30:00,4351.45,4355.75,4346.70,4346.98
XAUUSD,M15,2026.09.22 05:45:00,4346.97,4347.12,4340.42,4344.62
XAUUSD,M15,2026.09.22 06:00:00,4344.62,4345.84,4339.47,4345.43
XAUUSD,M15,2026.09.22 06:15:00,4345.43,4346.32,4341.33,4346.06
XAUUSD,M15,2026.09.22 06:30:00,4346.06,4349.28,4341.05,4342.79
XAUUSD,M15,2026.09.22 06:45:00,4342.80,4344.18,4340.50,4341.67
